observer, scene, distortion_A, distortion_B, level_A, level_B, tmo_A, tmo_B, is_A_selected
"observer0001", "Web", "1000", "500", "1000000", "1600", "Fixed", "Fixed", 1
"observer0001", "Werewolf", "500", "250", "64", "1600", "ContentAware", "ContentAware", 0
"observer0001", "Face3", "500", "500", "1600", "8000", "Fixed", "ContentAware", 0
"observer0001", "Web", "500", "500", "40000", "8000", "Fixed", "Fixed", 0
"observer0001", "Street", "500", "63", "1600", "320", "Fixed", "ContentAware", 1
"observer0001", "Web", "500", "1000", "320", "40000", "Fixed", "Fixed", 0
"observer0001", "Werewolf", "500", "1000", "40000", "320", "Fixed", "ContentAware", 0
"observer0001", "Street", "250", "250", "1600", "40000", "Fixed", "Fixed", 1
"observer0001", "Street", "63", "125", "64", "64", "Fixed", "Fixed", 0
"observer0001", "Face3", "500", "125", "8000", "40000", "ContentAware", "ContentAware", 1
"observer0001", "Werewolf", "125", "1000", "1600", "64", "Fixed", "Fixed", 1
"observer0001", "Werewolf", "63", "63", "64", "1600", "Fixed", "ContentAware", 0
"observer0001", "Werewolf", "250", "250", "40000", "40000", "ContentAware", "Fixed", 0
"observer0001", "Face3", "250", "63", "8000", "64", "ContentAware", "Fixed", 1
"observer0002", "Courtyard", "500", "1000", "40000", "1000000", "ContentAware", "Fixed", 0
"observer0002", "Courtyard", "250", "1000", "8000", "320", "ContentAware", "Fixed", 1
"observer0002", "Street", "125", "63", "40000", "64", "ContentAware", "ContentAware", 1
"observer0002", "Web", "250", "63", "40000", "64", "Fixed", "Fixed", 1
"observer0002", "Street", "500", "500", "320", "1600", "Fixed", "Fixed", 0
"observer0002", "Street", "63", "500", "40000", "40000", "ContentAware", "Fixed", 0
"observer0002", "Street", "500", "63", "320", "8000", "ContentAware", "ContentAware", 1
"observer0002", "Courtyard", "63", "63", "1600", "320", "ContentAware", "Fixed", 1
"observer0002", "Earth", "1000", "1000", "64", "8000", "Fixed", "Fixed", 0
"observer0002", "Street", "125", "250", "320", "1600", "ContentAware", "Fixed", 0
"observer0002", "Earth", "250", "1000", "8000", "320", "Fixed", "ContentAware", 1
"observer0002", "Web", "250", "125", "64", "8000", "ContentAware", "ContentAware", 0
"observer0002", "Courtyard", "63", "1000", "320", "8000", "Fixed", "Fixed", 0
"observer0002", "Street", "500", "1000", "1600", "8000", "ContentAware", "ContentAware", 0
"observer0002", "Earth", "1000", "125", "64", "8000", "ContentAware", "ContentAware", 0
"observer0002", "Courtyard", "500", "63", "8000", "8000", "Fixed", "ContentAware", 1
"observer0002", "Street", "250", "1000", "8000", "1000000", "ContentAware", "Fixed", 0
"observer0002", "Courtyard", "500", "1000", "64", "64", "ContentAware", "Fixed", 1
"observer0002", "Street", "250", "125", "1600", "40000", "ContentAware", "ContentAware", 1
