scene,content_type,tmo,jod,jod_low,jod_high
all,all,1000_1000000_Fixed,1.79282697761789,1.53643695328117,2.10924940929441
all,all,1000_1600_Fixed,1.20707408889128,0.977454145171302,1.455272520271
all,all,1000_1600_ContentAware,1.30263311481545,1.01097630506635,1.61344587775873
all,all,1000_320_Fixed,0.0799782979604784,-0.148791603198203,0.323136602509525
all,all,1000_320_ContentAware,0.326848440511764,0.0842453541306761,0.60811104452626
all,all,1000_40000_Fixed,2.06000847297079,1.75066418903213,2.41274865892342
all,all,1000_40000_ContentAware,1.82839280132397,1.5875099392655,2.11334053476507
all,all,1000_64_Fixed,-1.288100048384189,-1.60143629345825,-1.00426434963438
all,all,1000_64_ContentAware,-1.28551794602539,-1.62749063246117,-0.987253600351548
all,all,1000_8000_Fixed,2.05820867311034,1.72791876888871,2.41749306763425
all,all,1000_8000_ContentAware,1.69755367299947,1.42734402803118,2.04303406861667
all,all,125_1600_Fixed,-0.536916565015294,-0.745246617283111,-0.341605395480439
all,all,125_1600_ContentAware,-0.129823075802246,-0.366305094384427,0.111727319015601
all,all,125_320_Fixed,-1.04425858072415,-1.29232624191191,-0.833871987028151
all,all,125_320_ContentAware,-0.414002136631152,-0.616504066893577,-0.199702776832374
all,all,125_40000_Fixed,-0.36719123884104,-0.603102393525575,-0.118740365929517
all,all,125_40000_ContentAware,0.0989280162037245,-0.132295602193437,0.331336275052254
all,all,125_64_Fixed,-1.4688611979571,-1.6964655274416,-1.27388282040668
all,all,125_64_ContentAware,-1.40253126251503,-1.66663223935114,-1.17546120905804
all,all,125_8000_Fixed,-0.371535409923789,-0.618336385860756,-0.131649955467119
all,all,125_8000_ContentAware,-0.2647100039520789,-0.525731210889601,-0.014527089644697
all,all,250_1600_Fixed,0.421525119963496,0.21644460234543,0.649396511731806
all,all,250_1600_ContentAware,0.607086661169935,0.337539763276457,0.867874318049022
all,all,250_320_Fixed,0.0694340966428342,-0.164820979790503,0.332368677374799
all,all,250_320_ContentAware,0.0314378393625575,-0.182453810411661,0.255512484755633
all,all,250_40000_Fixed,0.357757198368871,0.105424635137185,0.625941175457177
all,all,250_40000_ContentAware,0.858379922344137,0.615142223455911,1.11408550673435
all,all,250_64_Fixed,-0.1000373982679193,-1.19116914673924,-0.793868756581321
all,all,250_64_ContentAware,-1.13333909521259,-1.39727083871557,-0.909790607784205
all,all,250_8000_Fixed,0.65856601188313,0.43232248948296,0.904903375864751
all,all,250_8000_ContentAware,0.714616870884765,0.441707302262579,0.998963022508407
all,all,500_1600_Fixed,1.42257661167123,1.16579007067213,1.71073090971225
all,all,500_1600_ContentAware,1.19725867608301,1.00514797966909,1.44367824867874
all,all,500_320_Fixed,0.350872366190511,0.125120444470196,0.565077206258456
all,all,500_320_ContentAware,0.481924976853231,0.283102874979447,0.696578576108958
all,all,500_40000_Fixed,1.74528588629559,1.55917427543311,1.95283278667626
all,all,500_40000_ContentAware,1.37609630198538,1.1487865561367,1.62788580921682
all,all,500_64_Fixed,-0.806524548301383,-1.07766840953291,-0.520700292662378
all,all,500_64_ContentAware,-0.794463282461987,-1.03649367655305,-0.580945662534824
all,all,500_8000_Fixed,1.65464774245777,1.3926407763931,1.96986996936307
all,all,500_8000_ContentAware,1.52498328835619,1.29004226481096,1.79861818603073
all,all,63_1600_Fixed,-1.43919544539021,-1.71859017755386,-1.20422802657032
all,all,63_1600_ContentAware,-0.881951449343203,-1.14468087766643,-0.628977411348213
all,all,63_320_Fixed,-1.60557452372403,-1.85893321438483,-1.35987001623908
all,all,63_320_ContentAware,-1.06346823057617,-1.32707543141662,-0.806310131941009
all,all,63_40000_Fixed,-1.42141129831502,-1.71381053197556,-1.16831804796269
all,all,63_40000_ContentAware,-1.05118248638994,-1.36916035914743,-0.748015906329045
all,all,63_64_Fixed,-2.13350764707501,-2.42682600658003,-1.87161953335025
all,all,63_64_ContentAware,-1.94646913403794,-2.22294263768572,-1.70281464324838
all,all,63_8000_Fixed,-1.18352961811041,-1.53887043706407,-0.861451983499797
all,all,63_8000_ContentAware,-0.909495448502827,-1.14635493021696,-0.688236785490936
Street,UGC,1000_1000000_Fixed,1.90251175901355,0.889699064681809,3.49641760948932
Street,UGC,1000_1600_Fixed,1.25322032231398,-0.000472397068138865,2.72516873216096
Street,UGC,1000_1600_ContentAware,1.18552135031371,0.392571252131761,2.35523467089885
Street,UGC,1000_320_Fixed,-0.868663533396809,-1.52911949208052,-0.257902003082239
Street,UGC,1000_320_ContentAware,-0.759637046034742,-1.71477726847831,0.189553770947709
Street,UGC,1000_40000_Fixed,3.61174254791492,1.99878425918905,7.1659829412366
Street,UGC,1000_40000_ContentAware,3.32481790504065,1.61506202191183,5.22350304199772
Street,UGC,1000_64_Fixed,-3.01420085820041,-4.85784178112664,-1.20824859911166
Street,UGC,1000_64_ContentAware,-1.72509956126242,-3.25690963105274,-0.827706176858445
Street,UGC,1000_8000_Fixed,2.25588392920985,1.06735992155077,3.69907608493203
Street,UGC,1000_8000_ContentAware,1.90374072610024,1.10170922847707,3.3166488065843
Street,UGC,125_1600_Fixed,0.761585755790821,0.113255809754125,1.72543240233055
Street,UGC,125_1600_ContentAware,-0.308670508703869,-1.16382777633731,0.395795484399245
Street,UGC,125_320_Fixed,-1.54945609040748,-2.55865797767714,-0.61263867156874
Street,UGC,125_320_ContentAware,-0.102180891833349,-0.976672400386341,1.15139376326015
Street,UGC,125_40000_Fixed,0.471430502866276,-0.205383032959397,1.42664093089456
Street,UGC,125_40000_ContentAware,0.279038076740295,-0.438729681578572,1.12941997382215
Street,UGC,125_64_Fixed,-1.6819491903018,-3.68867446825163,-0.833801222374819
Street,UGC,125_64_ContentAware,-1.56998604392518,-2.41603818673603,-0.82084024299365
Street,UGC,125_8000_Fixed,-0.75252022393567,-1.53758822512176,0.313856933619016
Street,UGC,125_8000_ContentAware,-0.568715781755708,-1.15760212589042,-0.11456617083929
Street,UGC,250_1600_Fixed,0.936627961931341,0.00629132675671108,2.257779538112
Street,UGC,250_1600_ContentAware,1.1014914614822,0.343186753121127,1.82321357437652
Street,UGC,250_320_Fixed,0.332402281076726,-0.5955280100043068,1.2694964507076
Street,UGC,250_320_ContentAware,-0.406694073494573,-1.30799914791449,0.463610537379978
Street,UGC,250_40000_Fixed,0.951055479862906,0.136605797773148,1.89152952125768
Street,UGC,250_40000_ContentAware,1.31545168792566,0.376681681758868,2.74344226348366
Street,UGC,250_64_Fixed,-1.48054507108772,-2.11308417618831,-0.972146195270555
Street,UGC,250_64_ContentAware,-1.63823451731953,-2.85589909592978,-0.709537852316611
Street,UGC,250_8000_Fixed,1.55047680896481,0.767762428432861,2.38851852306605
Street,UGC,250_8000_ContentAware,0.892841271533331,0.0897648020541184,2.45996925639766
Street,UGC,500_1600_Fixed,1.91407784573461,1.10689503197117,2.75630585796152
Street,UGC,500_1600_ContentAware,0.69350085671388,-0.012656263199895,1.8985653377102
Street,UGC,500_320_Fixed,0.305897897406139,-0.601069537325025,1.0304033369816
Street,UGC,500_320_ContentAware,0.183142427624044,-0.69796061667798,1.11426496488715
Street,UGC,500_40000_Fixed,2.70565442035421,1.54821839496761,5.09845805942238
Street,UGC,500_40000_ContentAware,1.28789795212385,0.412623458509211,2.39829895744172
Street,UGC,500_64_Fixed,-1.60563166153253,-3.7822172321347,-0.557569450447295
Street,UGC,500_64_ContentAware,-1.56939413354016,-3.67250571874998,-0.58775765454605
Street,UGC,500_8000_Fixed,2.69212309382191,1.37791461940977,6.39799095321014
Street,UGC,500_8000_ContentAware,0.781934451021933,0.108113279398705,3.52910896506756
Street,UGC,63_1600_Fixed,-1.94327518139905,-3.22333624550819,-1.1500596130994
Street,UGC,63_1600_ContentAware,-2.15493176050647,-3.5151406494149,-1.27556953324124
Street,UGC,63_320_Fixed,-0.441232594612894,-1.14245081064791,0.313913070197755
Street,UGC,63_320_ContentAware,-0.957604423634727,-2.34017702332889,-0.187645403478335
Street,UGC,63_40000_Fixed,-0.822285860507881,-1.75173675099107,-0.0714416342400747
Street,UGC,63_40000_ContentAware,-0.849183002668134,-1.90920596840157,-0.211484464542299
Street,UGC,63_64_Fixed,-3.11605828673373,-5.42520603237963,-1.96036936574177
Street,UGC,63_64_ContentAware,-2.30620700458801,-3.07963580193788,-1.70250527522255
Street,UGC,63_8000_Fixed,-1.5275334123915,-2.8308123800413,-0.64967327568185
Street,UGC,63_8000_ContentAware,-0.874178059107484,-1.99519227496,-0.114442973281762
Showgirl,entertainment,1000_1000000_Fixed,3.9989327967116,2.1349767853407,8.02470415838847
Showgirl,entertainment,1000_1600_Fixed,3.41291912355777,1.93345886440707,5.71251143627553
Showgirl,entertainment,1000_1600_ContentAware,3.24484791669841,1.85548497670903,5.54978733083134
Showgirl,entertainment,1000_320_Fixed,2.14316614725871,0.487158200180411,6.03213293641989
Showgirl,entertainment,1000_320_ContentAware,2.42841252760301,0.998841575382031,3.52709251976626
