scene,contrast,peakLuminance,jod,jod_low,jod_high
all,1000000,980,1.51883679085366,1.1614756035952,1.98202737367729
all,1600,125,-0.204468929499809,-0.447747457448811,0.0551616789689953
all,1600,250,0.522773992991259,0.229424738850132,0.833040406841879
all,1600,500,0.843546804705415,0.542052401827373,1.24425131277294
all,1600,63,-1.10338206989803,-1.61882857025358,-0.770709737226536
all,1600,980,0.907539319683325,0.64918475974745,1.289422782542
all,320,125,-0.407560524838498,-0.65969109617107,-0.15660559553977
all,320,250,0.0736364590591461,-0.219976130247777,0.360533248654424
all,320,500,0.341870222627102,-0.0731665492880756,0.763833495260212
all,320,63,-1.08304405634275,-1.46295793713752,-0.882762407059996
all,320,980,0.093925137582031,-0.458080720144682,0.587868750728237
all,40000,125,-0.0541569901799355,-0.426201431684339,0.368394977802187
all,40000,250,0.406619061810604,0.128226929808269,0.758673802150111
all,40000,500,1.17891926251048,0.981515566723708,1.45167186735209
all,40000,63,-1.00339135703683,-1.52608852122172,-0.537048386380921
all,40000,980,1.49745221909489,1.21491909174791,1.96594205368629
all,64,125,-1.01434417403971,-1.27346599338272,-0.843071795692065
all,64,250,-0.673862702109913,-1.12395130549443,-0.397511140920409
all,64,500,-0.588509397829249,-1.11793390822662,-0.214871843764113
all,64,63,-1.53431111205262,-1.936123716497,-1.3286531492016
all,64,980,-1.28239620176807,-1.75590858265639,-0.996546744665397
all,8000,125,-0.0704347637849948,-0.404927276171232,0.205115516823909
all,8000,250,0.39965508003571,0.131172636848177,0.760114031189674
all,8000,500,1.00492193339285,0.792971912683093,1.27568572823014
all,8000,63,-1.15537637305854,-1.6536080787985,-0.79019964910574
all,8000,980,1.38554236809249,1.21898504461468,1.70646080017251
Street,1000000,980,3.39949315302191,1.84546547904787,4.97673535420087
Street,1600,125,-0.0214444616209827,-0.589345408070515,0.945745689077769
Street,1600,250,2.02472700794132,1.02797448590122,2.96993156623773
Street,1600,500,1.55895243164441,0.320211771906779,2.71171442475686
Street,1600,63,-2.27250819638739,-3.26118269544962,-1.01403348524056
Street,1600,980,1.34121484488454,0.662815270264647,2.12382734494177
Street,320,125,-0.426057460309344,-1.09791297342259,0.399009727661502
Street,320,250,0.480655400677132,-1.15038982942371,1.43545027539536
Street,320,500,-0.601160763969225,-1.40147361666934,0.215783515051834
Street,320,63,-1.84497363213592,-3.06024620709982,-0.703383879123985
Street,320,980,-1.30197983642489,-3.27408046221883,0.218370660162457
Street,40000,125,1.11447600375825,0.214012556853024,2.04344227745108
Street,40000,250,1.21914847354118,0.266090201446036,2.55167843587381
Street,40000,500,2.83101963190318,1.96258815342887,4.04518906840624
Street,40000,63,-1.59336896932005,-2.5988834950287,-0.717271086285825
Street,40000,980,3.01977653016822,1.40281050029989,4.44186049934391
Street,64,125,-2.12058923871312,-3.5586059563469,-0.804264539227063
Street,64,250,-2.3458899648896,-3.36303450362008,-1.39003484823732
Street,64,500,-3.63479993866309,-5.30595575452494,-2.39773227486784
Street,64,63,-2.50956597237632,-3.58597141586458,-1.64792863808133
Street,64,980,-3.40373718066347,-5.72250052681333,-1.78717117858386
Street,8000,125,1.63945897468432,0.0223854129252764,2.86407476449512
Street,8000,250,0.729654039325531,0.11088684310993,1.79105084025844
Street,8000,500,1.7150820503674,0.75795279378616,2.69149878222266
Street,8000,63,-2.12343208071093,-3.50800898403409,-0.988235774586179
Street,8000,980,3.12584915426693,1.92813508386568,4.5337166782426
Showgirl,1000000,980,3.47847187622222,2.17772473386673,6.41294677054361
Showgirl,1600,125,-0.985141074701826,-2.78858294117827,0.18633266597748
Showgirl,1600,250,0.00694062753495944,-1.1127506035293,1.10631751136962
Showgirl,1600,500,2.71484603911104,1.57587613234998,5.25333309290178
Showgirl,1600,63,-3.35131389675771,-5.05727531083907,-2.45646882887513
Showgirl,1600,980,4.48528228730129,3.03213635187752,9.58453709629857
Showgirl,320,125,-1.46619021235512,-2.8397712592693,-0.875793769337983
Showgirl,320,250,0.348950906622181,-0.665563577156145,1.49230365181874
Showgirl,320,500,2.218540392522,1.32257393048288,4.19578650247536
Showgirl,320,63,-3.39423439027611,-5.5135694194862,-2.3386260925033
Showgirl,320,980,2.41187940022454,1.46915585862787,3.93087438271941
Showgirl,40000,125,-2.29174754035335,-4.0117318181339,-1.20148395103813
Showgirl,40000,250,1.20152775456636,0.460740307394513,2.05719088182984
Showgirl,40000,500,2.38400139654797,1.2622867729184,4.60697897950099
Showgirl,40000,63,-3.45293567934285,-5.85174911826409,-1.58001857239597
Showgirl,40000,980,2.51645153272788,0.982293443101036,4.92074234116259
Showgirl,64,125,-3.09984053230892,-5.19072729240726,-2.12005223349597
Showgirl,64,250,-0.908902442860418,-2.99297458959541,0.551852118896212
Showgirl,64,500,0.457299493729079,-0.987776852655555,1.2827811814066
Showgirl,64,63,-4.52501394113947,-7.15417681507498,-3.23478889147131
Showgirl,64,980,0.376035853057475,-1.34923606664547,1.75666396982485
Showgirl,8000,125,-1.39931710273308,-2.9187384093127,-0.697104395390528
Showgirl,8000,250,0.0190128821737047,-1.52604498452238,0.988547384803668
Showgirl,8000,500,2.25042787223143,1.20438397763712,4.289236646633
Showgirl,8000,63,-3.65431430064023,-5.62274971040578,-2.44780788471901
Showgirl,8000,980,3.65928279889694,2.83141551581502,7.47786096564533
Web,1000000,980,3.25003886672,2.21326113650301,4.45934757262302
Web,1600,125,-0.846303109876757,-1.69204603682832,0.105922929911133
Web,1600,250,0.7948952139929,-0.233041494767462,1.97137588940442
Web,1600,500,2.03294621572334,1.04032548791425,2.98298963647103
Web,1600,63,-2.5651253092045,-4.72283864053014,-1.62890553922255
Web,1600,980,2.80765632616535,1.9448444695384,5.00128803286918
Web,320,125,-0.722195178833814,-1.91936498651466,0.169286781655022
Web,320,250,0.219885652148718,-0.546146362754952,1.48717475494846
Web,320,500,1.7011997195349,0.766508033571782,3.05183554982485
Web,320,63,-2.21088049747439,-3.19088395570018,-1.60440094303936
Web,320,980,1.35851973097205,0.66841659740704,2.55145160204577
Web,40000,125,0.0867401572708625,-0.811114934851307,1.25414728455637
Web,40000,250,0.590752160790854,-0.584326589021687,1.49230182731438
Web,40000,500,2.16384327541944,1.11411174736976,3.59883168233486
Web,40000,63,-2.85060940699736,-4.06951528377516,-2.02579790530446
Web,40000,980,3.59469960808553,2.49415370013323,5.13762275279553
Web,64,125,-2.60566412925572,-4.01825149231001,-1.24024160353588
Web,64,250,-0.8894466998686,-1.83450949657219,-0.0201683807480112
Web,64,500,-1.7689602693383,-3.5776327643223,-0.207824628141824
Web,64,63,-3.57151208482768,-6.52169218982326,-2.07218700627575
Web,64,980,-3.24841528851661,-5.01049262360432,-1.41304656707588
Web,8000,125,-1.44662194711731,-2.42986962273553,-0.691751135138251
Web,8000,250,0.358052837080727,-0.517588643869734,1.6149510140043
Web,8000,500,3.17188023136519,1.75016657658212,4.73272407930205
Web,8000,63,-3.07713119620831,-4.6575370136807,-1.85131034443313
Web,8000,980,3.67175512224949,2.36371899223466,5.54291030998484
Face2,1000000,980,4.49693589009136,3.18848073808771,9.15610408723019
Face2,1600,125,-1.43374108556683,-3.4797276125442,-0.572973840793438
Face2,1600,250,0.568868131227395,-0.498187483148591,1.38388885246939
Face2,1600,500,2.62004514293703,1.27230195206917,5.44362282292733
Face2,1600,63,-2.80679895677588,-5.59326617802014,-1.78014753000941
Face2,1600,980,2.29207804074913,1.14659748007608,4.5913469342549
Face2,320,125,-1.43018296436411,-3.24807064677587,-0.673306782856896
Face2,320,250,-0.538177111323238,-1.89271816372695,0.294926507263473
Face2,320,500,0.391600576364658,-1.89410640729904,1.72592282133629
Face2,320,63,-2.92027162362909,-5.67669456927511,-1.77538625597773
Face2,320,980,-1.06652417444895,-2.76816064004686,0.480827227737699
Face2,40000,125,-0.0274898241793278,-1.43558505892092,0.661963158726728
Face2,40000,250,1.32201371041512,0.62258691584373,3.80072525320502
Face2,40000,500,2.64911644195942,1.68397173909986,5.38295678187025
Face2,40000,63,-1.37901776243696,-3.32389523243003,-0.26528248252722
Face2,40000,980,5.66410903442445,4.20097882995455,15.6266054184571
Face2,64,125,-3.03073514844216,-5.26472594823526,-2.20563430711519
Face2,64,250,-1.85671869139229,-3.46258405973279,-0.948474228249903
Face2,64,500,-0.942846182102685,-2.91449782433217,0.291674934117774
Face2,64,63,-3.54129731437956,-6.64272617487905,-2.26034090463845
Face2,64,980,-2.98855773549178,-5.07189332194774,-1.92863407891357
Face2,8000,125,-0.677620139161193,-2.05134804229259,0.00148799762991499
Face2,8000,250,0.187820084856472,-1.20334836864349,1.03524144574213
Face2,8000,500,3.16782242088331,1.9731002186609,6.34843450538174
Face2,8000,63,-2.51089226401033,-4.78662724139024,-1.32240495399061
Face2,8000,980,3.79046150379605,2.79072253750793,7.52531345915029
Face1,1000000,980,4.88297000065431,1.17108221854118,6.92456509743747
Face1,1600,125,4.31069746212377,0.964174258125833,6.6158729725315
Face1,1600,250,4.93176313495592,1.23993092798132,7.39323892169057
Face1,1600,500,3.55747406108936,-0.0693364269092906,5.54668111335908
Face1,1600,63,4.20204601080549,0.779075317449986,6.54283244176629
Face1,1600,980,2.90528905267699,-0.429145640226626,5.09102930924457
Face1,320,125,2.70565661320104,-0.670229369949275,5.50284601713764
Face1,320,250,2.30322887924741,-1.01408301410069,4.24915855485228
Face1,320,500,1.66186385750177,-2.09758855325684,4.04165264689153
Face1,320,63,3.34209981703015,-0.213545836600027,5.72998412843935
Face1,320,980,-13.4225877104257,-23.3844553207571,-2.5149655191941
Face1,40000,125,5.39823192400826,2.07722927336334,7.62752593113573
Face1,40000,250,5.24202853104754,1.60033687963713,7.7504742230523
Face1,40000,500,4.47530065115792,0.944222099574139,6.52833386548249
Face1,40000,63,4.09848954381949,0.512675118921372,5.9146316236775
Face1,40000,980,4.46176199125601,1.02596611688554,6.97748555737426
Face1,64,125,1.32311100207506,-8.64010886917366,2.560189019978
Face1,64,250,-13.4225749264249,-23.331784422634,-2.54144490646895
Face1,64,500,-23.7817911617998,-35.9220309265302,-4.75824643455694
Face1,64,63,0.833259412040477,-7.74415330970864,2.01676289708164
Face1,64,980,-33.1180871306253,-46.0328287816467,-6.78602877027499
